day,count
 09 16,"	105"
 09 16,"	67"
 09 16,"	41"
 09 16,"	29"
 09 16,"	20"
 09 17,"	9"
 09 17,"	7"
 09 17,"	5"
 09 17,"	9"
 09 17,"	19"
 09 17,"	30"
 09 17,"	62"
 09 17,"	225"
 09 17,"	220"
 09 17,"	207"
 09 17,"	59"
 09 17,"	161"
 09 17,"	119"
 09 17,"	170"
 09 17,"	174"
 09 17,"	214"
 09 17,"	235"
 09 17,"	279"
 09 17,"	154"
 09 17,"	87"
 09 17,"	63"
 09 17,"	56"
 09 17,"	32"
 09 17,"	23"
 09 18,"	7"
 09 18,"	3"
 09 18,"	7"
 09 18,"	11"
 09 18,"	12"
 09 18,"	33"
 09 18,"	59"
 09 18,"	210"
 09 18,"	234"
 09 18,"	203"
 09 18,"	192"
 09 18,"	160"
 09 18,"	135"
 09 18,"	158"
 09 18,"	206"
 09 18,"	204"
 09 18,"	235"
 09 18,"	284"
 09 18,"	149"
 09 18,"	85"
 09 18,"	48"
 09 18,"	40"
 09 18,"	33"
 09 18,"	20"
 09 19,"	21"
 09 19,"	14"
 09 19,"	7"
 09 19,"	11"
 09 19,"	9"
 09 19,"	27"
 09 19,"	48"
 09 19,"	224"
 09 19,"	208"
 09 19,"	213"
 09 19,"	184"
 09 19,"	156"
 09 19,"	115"
 09 19,"	169"
 09 19,"	186"
 09 19,"	210"
 09 19,"	232"
 09 19,"	233"
 09 19,"	143"
 09 19,"	89"
 09 19,"	70"
 09 19,"	53"
 09 19,"	30"
 09 19,"	21"
 09 20,"	13"
 09 20,"	7"
 09 20,"	6"
 09 20,"	11"
 09 20,"	16"
 09 20,"	29"
 09 20,"	74"
 09 20,"	205"
 09 20,"	211"
 09 20,"	199"
 09 20,"	189"
 09 20,"	168"
 09 20,"	138"
 09 20,"	195"
 09 20,"	101"
 09 20,"	225"
 09 20,"	259"
 09 20,"	285"
 09 20,"	195"
 09 20,"	97"
 09 20,"	84"
 09 20,"	93"
 09 20,"	40"
 09 20,"	22"
 09 21,"	18"
 09 21,"	11"
 09 21,"	11"
 09 21,"	12"
 09 21,"	21"
 09 21,"	42"
 09 21,"	66"
 09 21,"	165"
 09 21,"	165"
 09 21,"	148"
 09 21,"	138"
 09 21,"	125"
 09 21,"	111"
 09 21,"	149"
 09 21,"	139"
 09 21,"	136"
 09 21,"	38"
 09 21,"	217"
 09 21,"	115"
 09 21,"	86"
 09 21,"	71"
 09 21,"	73"
 09 21,"	53"
 09 21,"	26"
 09 01,"	1"
 09 01,"	2"
 09 01,"	3"
 09 01,"	4"
 09 01,"	20"
 09 01,"	1"
 09 01,"	2"
 09 01,"	3"
 09 01,"	3"
 09 01,"	3"
 09 01,"	1"
 09 01,"	1"
 09 01,"	6"
 09 01,"	3"
 09 01,"	4"
 09 01,"	2"
 09 01,"	2"
 09 01,"	5"
 09 01,"	2"
 09 01,"	2"
 09 01,"	1"
 09 02,"	3"
 09 02,"	5"
 09 02,"	11"
 09 02,"	3"
 09 02,"	1"
 09 02,"	1"
 09 02,"	1"
 09 02,"	3"
 09 02,"	2"
 09 02,"	2"
 09 02,"	3"
 09 02,"	6"
 09 02,"	4"
 09 02,"	1"
 09 02,"	1"
 09 03,"	3"
 09 03,"	9"
 09 03,"	6"
 09 03,"	1"
 09 03,"	2"
 09 03,"	2"
 09 03,"	3"
 09 03,"	2"
 09 03,"	1"
 09 03,"	3"
 09 03,"	2"
 09 03,"	7"
 09 03,"	5"
 09 03,"	3"
 09 03,"	3"
 09 03,"	1"
 09 04,"	1"
 09 04,"	2"
 09 04,"	6"
 09 04,"	6"
 09 04,"	1"
 09 04,"	1"
 09 04,"	2"
 09 04,"	1"
 09 04,"	3"
 09 04,"	4"
 09 04,"	1"
 09 04,"	4"
 09 04,"	3"
 09 04,"	4"
 09 04,"	1"
 09 05,"	3"
 09 05,"	5"
 09 05,"	12"
 09 05,"	1"
 09 05,"	1"
 09 05,"	1"
 09 05,"	5"
 09 05,"	2"
 09 05,"	2"
 09 05,"	2"
 09 05,"	1"
 09 05,"	6"
 09 05,"	2"
 09 05,"	1"
 09 05,"	1"
 09 06,"	3"
 09 06,"	7"
 09 06,"	7"
 09 06,"	1"
 09 06,"	1"
 09 06,"	1"
 09 06,"	2"
 09 06,"	4"
 09 06,"	1"
 09 06,"	4"
 09 06,"	6"
 09 06,"	6"
 09 06,"	1"
 09 06,"	1"
 09 06,"	1"
 09 07,"	1"
 09 07,"	1"
 09 07,"	4"
 09 07,"	40"
 09 07,"	8"
 09 07,"	1"
 09 07,"	2"
 09 07,"	2"
 09 07,"	1"
 09 07,"	11"
 09 07,"	1"
 09 07,"	7"
 09 07,"	2"
 09 07,"	6"
 09 07,"	3"
 09 07,"	1"
 09 08,"	1"
 09 08,"	4"
 09 08,"	7"
 09 08,"	22"
 09 08,"	3"
 09 08,"	2"
 09 08,"	2"
 09 08,"	3"
 09 08,"	3"
 09 08,"	2"
 09 08,"	5"
 09 08,"	4"
 09 08,"	6"
 09 08,"	3"
 09 08,"	14"
 09 08,"	7"
 09 08,"	6"
 09 08,"	1"
 09 09,"	2"
 09 09,"	2"
 09 09,"	4"
 09 09,"	4"
 09 09,"	13"
 09 09,"	2"
 09 09,"	1"
 09 09,"	2"
 09 09,"	1"
 09 09,"	2"
 09 09,"	1"
 09 09,"	2"
 09 09,"	4"
 09 09,"	1"
 09 09,"	4"
 09 09,"	1"
 09 09,"	1"
 09 10,"	2"
 09 10,"	8"
 09 10,"	8"
 09 10,"	2"
 09 10,"	3"
 09 10,"	3"
 09 10,"	1"
 09 10,"	1"
 09 10,"	3"
 09 10,"	2"
 09 10,"	4"
 09 10,"	2"
 09 10,"	1"
 09 11,"	1"
 09 11,"	3"
 09 11,"	4"
 09 11,"	14"
 09 11,"	6"
 09 11,"	1"
 09 11,"	1"
 09 11,"	2"
 09 11,"	2"
 09 11,"	4"
 09 11,"	1"
 09 11,"	1"
 09 12,"	2"
 09 12,"	5"
 09 12,"	11"
 09 12,"	1"
 09 12,"	1"
 09 12,"	1"
 09 12,"	8"
 09 12,"	4"
 09 12,"	1"
 09 12,"	2"
 09 12,"	3"
 09 12,"	5"
 09 12,"	4"
 09 12,"	1"
 09 12,"	3"
 09 13,"	11"
 09 13,"	4"
 09 13,"	8"
 09 13,"	6"
 09 13,"	8"
 09 13,"	1"
 09 13,"	6"
 09 13,"	2"
 09 13,"	3"
 09 13,"	4"
 09 13,"	2"
 09 13,"	1"
 09 13,"	1"
 09 13,"	1"
 09 14,"	5"
 09 14,"	1"
 09 14,"	4"
 09 14,"	2"
 09 14,"	5"
 09 14,"	2"
 09 14,"	9"
 09 14,"	9"
 09 14,"	2"
 09 14,"	4"
 09 14,"	3"
 09 14,"	2"
 09 14,"	1"
 09 14,"	1"
 09 14,"	1"
 09 14,"	3"
 09 15,"	3"
 09 15,"	4"
 09 15,"	3"
 09 15,"	2"
 09 15,"	15"
 09 15,"	2"
 09 15,"	2"
 09 15,"	1"
 09 15,"	1"
 09 15,"	1"
 09 15,"	1"
 09 15,"	15"
 09 15,"	8"
 09 15,"	4"
 09 15,"	1"
 09 16,"	3"
 09 16,"	4"
 09 16,"	6"
 09 16,"	9"
 09 16,"	1"
 09 16,"	1"
 09 16,"	4"
 09 16,"	4"
 09 16,"	3"
 09 16,"	3"
 09 16,"	3"
 09 16,"	1"
 09 16,"	4"
 09 16,"	1"
 09 16,"	1"
 09 17,"	1"
 09 17,"	1"
 09 17,"	4"
 09 17,"	10"
 09 17,"	8"
 09 17,"	3"
 09 17,"	1"
 09 17,"	1"
 09 17,"	1"
 09 17,"	2"
 09 17,"	1"
 09 17,"	1"
 09 17,"	3"
 09 17,"	3"
 09 17,"	5"
 09 17,"	2"
 09 17,"	2"
 09 17,"	1"
 09 17,"	1"
 09 18,"	1"
 09 18,"	3"
 09 18,"	6"
 09 18,"	6"
 09 18,"	2"
 09 18,"	3"
 09 18,"	1"
 09 18,"	2"
 09 18,"	1"
 09 18,"	3"
 09 18,"	5"
 09 18,"	4"
 09 18,"	1"
 09 18,"	1"
 09 18,"	1"
 09 18,"	1"
 09 19,"	1"
 09 19,"	3"
 09 19,"	5"
 09 19,"	12"
 09 19,"	1"
 09 19,"	3"
 09 19,"	2"
 09 19,"	5"
 09 19,"	1"
 09 19,"	2"
 09 19,"	3"
 09 19,"	2"
 09 19,"	3"
 09 19,"	3"
 09 19,"	1"
 09 19,"	1"
 09 20,"	2"
 09 20,"	8"
 09 20,"	8"
 09 20,"	1"
 09 20,"	2"
 09 20,"	1"
 09 20,"	1"
 09 20,"	1"
 09 20,"	4"
 09 20,"	9"
 09 20,"	7"
 09 20,"	4"
 09 20,"	2"
 09 20,"	2"
 09 20,"	2"
 09 20,"	1"
 09 21,"	4"
 09 21,"	8"
 09 21,"	27"
 09 21,"	10"
 09 21,"	2"
 09 21,"	2"
 09 21,"	3"
 09 21,"	1"
 09 21,"	7"
 09 21,"	1"
 09 21,"	4"
 09 21,"	7"
 09 21,"	6"
 09 01,"	7"
 09 01,"	5"
 09 01,"	3"
 09 01,"	4"
 09 01,"	5"
 09 01,"	13"
 09 01,"	8"
 09 01,"	8"
 09 01,"	8"
 09 01,"	3"
 09 01,"	8"
 09 01,"	11"
 09 01,"	3"
 09 01,"	4"
 09 01,"	6"
 09 01,"	7"
 09 01,"	6"
 09 01,"	2"
 09 01,"	3"
 09 01,"	2"
 09 01,"	4"
 09 02,"	3"
 09 02,"	4"
 09 02,"	1"
 09 02,"	4"
 09 02,"	13"
 09 02,"	20"
 09 02,"	14"
 09 02,"	73"
 09 02,"	40"
 09 02,"	71"
 09 02,"	80"
 09 02,"	88"
 09 02,"	10"
 09 02,"	72"
 09 02,"	64"
 09 02,"	69"
 09 02,"	62"
 09 02,"	41"
 09 02,"	28"
 09 02,"	6"
 09 02,"	4"
 09 02,"	15"
 09 02,"	16"
 09 02,"	8"
 09 03,"	21"
 09 03,"	15"
 09 03,"	10"
 09 03,"	10"
 09 03,"	18"
 09 03,"	19"
 09 03,"	26"
 09 03,"	69"
 09 03,"	65"
 09 03,"	66"
 09 03,"	67"
 09 03,"	66"
 09 03,"	59"
 09 03,"	78"
 09 03,"	72"
 09 03,"	76"
